taxon	matK	rpoB	spo-9	Pvr1	Pvr1.1	Waxy	atpE	rpoc1	cox1	rps2	unknown	GGR	5-enolpyruvylshikimate-3-phosphate-synthase	F3H	OSM1	endochitinase	beta-1,3-glucanase	LEAFY	unknown.1	5S-rRNA	NIA	matK.1	rpi-vnt1-like-protein	S	S.1	psbE	CHS-E	hypothetical-protein	COSII_At1g20050	COSII_At1g50020-like-protein	COSII_At2g38020	COSII_At5g14320	COSII_At2g38020.1	rpl32	rps16-trnQ(UUG)-intergenic-spacer	rpl32.1	AT3-1	At1g14300-like-protein	NIA.1	rps16	P	At5g04590-like-protein	unknown.2	TBP1	atpB	trnH-psbA-intergenic-spacer;-may-contain-psbA	At3g24010-like-protein	At3g62940-like-protein	18S-ribosomal-RNA	rbcL	nepGS	osmotin	lfy	glo	rpoC1	S1-RNase	beta-amylase	beta-amylase.1	phyA	trnK(UUU)-rps16-intergenic-spacer	COSII_At1g13380	trnY	contains-promoter-and-5'-UTR	ANS	transposase	unknown.3	H6H	rps3	At1g44760-like-protein	COSII_At2g15890	COSII_At3g10920	putative-progesterone-5-beta-reductase	3-methylcrotonyl-CoA-carboxylase	trnL	flavonoid-3'-hydroxylase	unknown.4	bHLH1	RPB2	adh	unknown.5	contains-tRNA-Leu-(trnL)-and-trnL-trnF-intergenic-spacer	contains-tRNA-Leu-(trnL)-and-trnL-trnF-intergenic-spacer.1	rpl16	ITS1	chloroplast-glutamine-synthetase	bHLH2	ndhF	ITS2	rpl2	waxy	putative-Pto-like-serine/threonine-kinase	PMT	MPF1-like-protein	S.2	GBSSI	petN	psbB-psbH-intergenic-spacer	NAMT	rbcL.1	disease-resistance-protein-RGH4	TPS17	NADH-dehydrogenase-subunit-1	psbA	5.8S-ribosomal-RNA	PI	myb1	trnS(GCU)-trnG(UCC)-intergenic-spacer	26S-ribosomal-RNA	infA	trnT-trnL-intergenic-region	18S-ribosomal-RNA.1	trnL.1	ndhJ	LFY	S.3	unknown.6	16S-rRNA	WDR1	S.4	S.5	S1-RNase.1	MADS	MPF2-like	unknown.7	NtoDFR	
Witheringia mexicana									JF966346																																																																														EU580953																									EU581073														
Dicranostyles villosus																																													AY100830																																																						AY101041													AY101150														
Schwenckia americana	EF439053																																												AM233292																																																					EF472977																												
Saracha quitensis																			DQ314178																																																																												DQ309488																			DQ301533												
Iochroma lehmannii																			DQ314200																																																																												DQ309511																			DQ301556												
Iochroma calycinum																			DQ314201																																																																												DQ309512																			DQ301557												
Iochroma nitidum																			DQ314168																																																																												DQ309478																			DQ301521												
Iochroma grandiflorum																			DQ314170																																																																												DQ309480																			DQ301523												
Iochroma parvifolium																			DQ314195																																																																												HQ615061																			DQ301551												
Iochroma confertiflorum																			DQ314176																																																																												DQ309486																			DQ301531												
Iochroma edule																			DQ314193																																																																												DQ309500																			DQ301548												
Iochroma ellipticum																			DQ314199																																																																												DQ309507																			DQ301555												
Iochroma stenanthum																			DQ314184																																																																												DQ309508																			DQ301539												
Iochroma salpoanum																			DQ314187																																																																												DQ309509																			DQ301542												
Iochroma cornifolium																			DQ314177																																																																												DQ309487																			DQ301532												
Iochroma squamosum																			DQ314186																																																																												DQ309494																			DQ301541												
Larnax subtriflora																																																																																							EU580902	AF211345																								EU581009														
Withania riebeckii																																																																																													FN179192																			AF212023											FN179218			
Browallia speciosa																																																																																							AY206739												AY206719													AY206753														
Nicotiana fragrans	AB040023																		AJ492397																																FN568419																																																																											
Nicotiana setchellii																			AJ492421																																FN568463								HM353137																																																																			
Nicotiana simulans	AB040020																		AJ492407																																																																																						DQ158185																					
Solanum papaverifolium																			GQ163615																																																																												GQ163688																	GQ163548														
Solanum clandestinum																																																																																							DQ392957								DQ169023																	DQ180462														
Solanum bumeliifolium																			GQ169756																																																																												GQ163638																	GQ163490														
Solanum hirtellum																			JN542589																																																																												JN661843																	JN661826														
Solanum horridum																			GQ163594																																																																												GQ163664																	GQ163519														
Solanum kurzii																			GQ163599																																																																												GQ163670																	GQ163527														
Solanum absconditum																			GU591053																																																																												GU591105																	GU590994														
Solanum lumholtzianum																			GQ143668																																																																												GQ143700																	GQ149753														
Solanum urticans																			GU591103																																																																												GU591152																	GU591051														
Solanum cerasiferum																			AY996554																																																																												HQ721973																	HQ721911														
