taxon	trnS	trnH-psbA-intergenic-spacer	trnL	ndhJ	atp1	rps2	rbcL	matR	unknown	18S-ribosomal-RNA	RPC1	DRF	putative-CBF/DREB-transcription-factor	RPB2I	trnS-trnG-intergenic-spacer	rpL16	rpoB	contains-PsbA-(psbA),-psbA-trnH-intergenic-spacer-and-tRNA-His-(trnH)	matK	waxy	putative-UBC35/UBC13A	putative-Lhcb3	atpB-rbcL-intergenic-spacer	rbcL.1	rpoC1	RBP2I	RPB2	RPB2D	RPB2D.1	trnL-trnF-intergenic-spacer	RPC1.1	RPB2I.1	rpoB.1	28S-ribosomal-RNA	putative-uroporphyrinogen-decarboxylase	putative-eukaryotic-translation-initiation-factor-SUI1	unknown.1	unknown.2	COX3	phyA	trnT	putative-cytosolic-glutathione-reductase	trnS-trnG-intergenic-spacer.1	nad1	28S-ribosomal-RNA.1	trnT-trnL-intergenic-spacer	26S-ribosomal-RNA	RPB2I.2	RPB2I.3	RPB2I.4	ndhF	atpB	
Erica distorta																																						HQ859014															
Erica ocellata																																						HQ859166															
Erica petraea																																						HQ859193															
Erica floccifera																																						HQ859051															
Erica nutans																																						HQ859161															
Erica fastigiata																																						HQ859039															
Erica gibbosa																																						HQ859057															
Erica equisetifolia																																						HQ859023															
Erica scytophylla																																						HQ859260															
Erica longimontana																																						HQ859128															
Erica grata																																						HQ859076															
Erica maderi																																						HQ859137															
Erica lateriflora																																						HQ859115															
Erica leucopelta																																						HQ859124															
Erica peziza																																						HQ859197															
Erica nubigena																																						HQ859159															
Erica simulans																																						HQ859272															
Erica petrophila																																						HQ859195															
Erica jugicola																																						HQ859104															
Erica cernua																																						HQ858968															
Erica parviflora																																						HQ859178															
Erica bruniades																																						HQ858949															
Erica remota																																						HQ859240															
Erica hermani																																						HQ859082															
Erica monsoniana																																						HQ859148															
Erica condensata																																						HQ858982															
Erica paludicola																																						HQ859174															
Erica ventricosa																																						HQ859323															
Erica lignosa																																						HQ859127															
Erica cordata																																						HQ858987															
Erica spumosa																																						HQ859281															
Erica barbigeroides																																						HQ858935															
